PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,#ERROR!,
159,Taylor Thierry,ATL,22,14,11,3,33,6,2,10,20,1,3,33.3,1,4,25,2,3,5,2,1,4,0,1,22,0,0,-10
160,Brianna Turner,IND,29,14,8,6,57,5,2,10,20,0,0,0,1,2,50,4,8,12,3,5,0,1,7,22,0,0,0
161,Crystal Bradford,LVA,31,4,2,2,24,4,2,6,33.3,0,2,0,0,0,0,2,3,5,1,1,2,0,3,14,0,0,-15
161,Grace Berger,DAL,26,4,2,2,55,4,2,11,18.2,0,5,0,0,2,0,2,8,10,5,5,0,1,7,21,0,0,-29
161,Kyara Linskens,GSV,28,4,2,2,27,4,2,5,40,0,1,0,0,0,0,1,5,6,1,2,1,3,7,19,0,0,7
161,Mackenzie Holmes,SEA,24,7,5,2,35,4,2,4,50,0,0,0,0,0,0,3,3,6,1,0,2,1,4,17,0,0,-35
165,Bree Hall,GSV,22,2,2,0,8,3,1,2,50,0,1,0,1,3,33.3,0,2,2,0,2,0,0,1,5,0,0,7
165,Megan McConnell,PHX,23,1,0,1,13,3,1,4,25,1,2,50,0,0,0,1,0,1,3,0,1,0,1,10,0,0,-22
167,Aerial Powers,GSV,31,2,2,0,7,2,0,2,0,0,0,0,2,2,100,1,1,2,1,0,1,0,0,7,0,0,7
167,Alexis Prince,PHX,31,1,1,0,22,2,1,3,33.3,0,1,0,0,0,0,0,8,8,1,3,0,0,1,11,0,0,5
167,Robyn Parks,CON,33,6,1,5,63,2,1,5,20,0,4,0,0,0,0,1,8,9,2,1,2,0,7,17,0,0,-8
170,Kamiah Smalls,ATL,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
170,Mamignan Touré,CON,30,3,1,2,16,0,0,4,0,0,2,0,0,0,0,0,0,0,0,2,1,0,3,2,0,0,8
170,Marième Badiane,MIN,30,3,3,0,11,0,0,3,0,0,1,0,0,0,0,1,0,1,0,2,2,0,6,5,0,0,-7
